X,Y
21.73855,-9.72351
21.34329,-11.1365
20.80205,-12.5002
20.10971,-13.7935
19.26823,-14.9951
20.23446,8.642019
20.27428,8.358648
23.49955,4.983598
28.94116,3.965228
28.94116,-4.88119
24.41906,-5.72748
21.99731,-8.27916
18.28815,-16.0867
17.18687,-17.0559
15.98642,-17.8995
14.70944,-18.6223
13.37579,-19.2346
12.00096,-19.748
10.59703,-20.1758
9.17299,-20.5313
7.735089,-20.8258
6.287432,-21.0681
4.833023,-21.266
3.374054,-21.427
1.911976,-21.5568
0.447684,-21.6588
-1.01814,-21.7358
-2.48495,-21.7907
-3.9524,-21.825
-5.42018,-21.8382
-6.888,-21.8295
-8.3555,-21.7978
-9.8222,-21.7402
-11.2874,-21.6521
-12.7499,-21.5281
-14.2082,-21.3612
-15.6595,-21.1421
-17.0999,-20.86
-18.5231,-20.5016
-19.9205,-20.0532
-21.2799,-19.5006
-22.5862,-18.8321
-23.8228,-18.0425
-24.9745,-17.1335
-26.0311,-16.1153
-26.9892,-15.0039
-27.8516,-13.8166
-28.6262,-12.57
-29.3224,-11.278
-29.9499,-9.95122
-30.5176,-8.5977
-31.0331,-7.22341
-31.502,-5.83254
-31.9286,-4.42809
-32.3159,-3.0123
-32.6649,-1.58657
-32.975,-0.15189
-33.2446,1.290948
-33.4694,2.741425
-33.6429,4.198902
-33.7563,5.66225
-33.7962,7.129375
-33.745,8.596045
-33.5793,10.05404
-33.2702,11.48823
-32.7865,12.87289
-32.1047,14.17106
-31.2211,15.34103
-30.1598,16.35294
-28.9624,17.20008
-27.6705,17.89545
-26.3172,18.46259
-24.9242,18.92444
-23.5057,19.30151
-22.0709,19.61044
-20.6251,19.86387
-19.1721,20.07181
-17.7142,20.24207
-16.2529,20.38068
-14.7894,20.49243
-13.3242,20.58102
-11.8579,20.64919
-10.3909,20.69916
-8.92346,20.73271
-7.45573,20.75097
-5.98788,20.75437
-4.52007,20.74314
-3.05245,20.71724
-1.58518,20.67602
-0.11848,20.61797
1.347359,20.54116
2.811926,20.44315
4.27462,20.32039
5.734498,20.16784
7.190121,19.97907
8.639228,19.74566
10.07813,19.45615
11.5008,19.09554
12.89713,18.64397
14.2504,18.07684
15.53415,17.36697
16.70915,16.48949
17.73125,15.43829
18.56498,14.2322
19.20361,12.91193
19.66902,11.52063
19.99851,10.09064
24.40649,4.81387
25.31342,4.644142
26.22036,4.474413
27.12729,4.304685
28.03423,4.134957
20.4742,7.553822
20.83579,6.807517
21.34349,6.15181
21.97549,5.614886
22.70462,5.219821
30.82573,-4.04869
32.14175,-2.46353
32.61338,-0.45798
32.14175,1.547566
30.82573,3.132725
23.81969,-5.90596
23.27035,-6.20483
22.79491,-6.61109
22.41403,-7.10709
22.14425,-7.67129
28.18748,-5.02224
27.43379,-5.16329
26.68011,-5.30433
25.92642,-5.44538
25.17274,-5.58643
